"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"apple",0.0369592886267615,0.0153740453432349,0.0369278654524507,0.0394053362465972,0.010692154760079,0.0555455034448865,0.0209629617510122,0.048272361767412,0.0291341914104067,0.0629858978699285,0.0405009826985784,0.034115260469405,0.021903210712748,0.0501972996997787,0.00912404250017252,0.0754381206267156,0.092345137535362,0.0597058830575417,0.127449739286533,0.135338371059761,0.0347940897368808,0.0660643993887819,0.053984658825061,0.0550602274502455,0.000275748870923376,0,0.0358391209366886,0.0431304900169113,0.0623882892571643,0.0786227713198785,0.372786038163175,0.287367675325,0.233421532248353,0.322233800913475,0.273267352245031,0.241340667072675,0.236423504414206,0.491532645256881,0.533248866487306,0.321028329433582,0.255703381096025,0.202650222596475,0.155006809912111,0.272027541738603,0.224386556346913,0.378311654954408,0.323566366966772,0.214834075005439,0.695456844135767,0.768955108660832,0.710006379062855,0.658700440366993,0.533772147791417,0.595427418619878,0.557445816519651,0.432601757432009,0.285947478783677,0.341905940338936,0.315798033532777,0.228655051931922,0.229131272226313,0.384756164225181,0.945465628301221,0.597097377692382,0.696200450584661,0.621975449023352,0.466889398405435,0.441201120685202,0.346448284609783,0.308158754002373,0.2687066767213
"banana",0.0200527753777109,0.0160711643307377,0.026099979337377,0.0205670320100488,0.0122052604564098,0.0231279329777932,0.0237078230495692,0.0188215631840712,0.0281243967607943,0.034652412147123,0.0398099071863845,0.0273023741227443,0.0300697005753796,0.0262180932971745,0.0175835496632343,0.0138245743132073,0.0313584477201327,0.0252306024683179,0.03377391087625,0.040149129578505,0.032653111658892,0.0337870400813934,0.0309462543348177,0.0360294033695716,0.0655155531282832,0.0471546180674691,0.0369355680746793,0.0492122441668331,0.0687631408501889,0.0594357101835766,0.0491988716206979,0.0542014701452757,0.0535697633282617,0.0541895543875129,0.0345151004243803,0.15284430737922,0.0999405162583066,0.207077432467459,0.300996100734917,0.194761694581654,0.198537930412098,0.202777094916411,0.226043228574272,0.423421986453588,0.482825884952403,0.161826148840001,0.130719259351338,0.10009725211738,0.0461260737893694,0.0575870190849419,0.278929241113663,0.301986763129992,0.246928956276287,0.286443628692999,0.38606367956193,0.482193627105705,0.462237260283908,0.801494725460796,0.754378367983828,0.15763420722859,0.225975730469103,0.0822722568060812,0.0369187611916803,0.265595810274485,0.29656751759252,0.321018082733509,0.498667947839942,0.612973833089486,0.872350572355474,0.99521049496132,0.388718033230016
"carrot",0.0262300096256701,0.0387237480854666,0.0169390284850005,0,0.0414609014090821,0.0262864741420024,0.0369463133367863,0.0513562684448217,0.0338581863882862,0.0357148026045772,0.0410680428363915,0.0251678021172048,0.0400593443429193,0.0158081627775318,0.0448090846495017,0.0375197143991424,0.0373285321323907,0.0620256211931922,0.0330453510980891,0.0247388825286018,0.0178225582499551,0.0817578513211774,0.0654595347218837,0.0317086413145114,0.0537573630248249,0.026252275186111,0.0346322495876947,0.037846559467508,0.0777824007820859,0.0665346560303349,0.101683052736165,0.130104973928382,0.0923744976333959,0.118922045352569,0.0525131676951102,0.195436829498395,0.160222509505502,0.522366154618035,0.48800386106257,0.259509655222721,0.186654406788954,0.237397744370197,0.214404972888479,0.231614988464455,0.260372906334073,0.427553301538659,0.573979746637654,0.397117733835172,0.372461999291498,0.105593610224687,0.56270037578751,0.476283769648703,0.382170637713615,0.461851505617395,0.362468753576625,0.306572647321951,0.25493644119386,0.326616333838959,0.321823246155793,0.972973576090182,0.806765157460883,0.96534883601204,0.280082679918855,0.453508222900518,0.472151039580831,0.374642073080418,0.299472202854267,0.260100628408037,0.366910089082358,0.356036536157607,0.878888233396435
"celery",0.0496229824969086,0.0255417008972912,0.029155577066828,0.0152602049557816,0.0471905016207244,0.0304008302661078,0.0440015136184933,0.0193431596996285,0.0246652985153564,0.0296721242801246,0.0392349740543136,0.023257487183914,0.0432868096645902,0.0677880238258086,0.0370745685371037,0.0103231303661742,0.0295641798970144,0.00787431259362955,0.0226231009318002,0.0244310686880717,0.0825913325963804,0.16382777471989,0.136386826276828,0.122930258936549,0.0224985752517733,0.0227013273842547,0.0233025182120631,0.1314318725254,0.220568913099138,0.185894157510599,0.0157203080608876,0.0466312109383116,0.0400208400260795,0.0363419193297527,0.0238083297553637,0.486029544277286,0.400501693096681,0.685535110342727,0.74030254082912,0.630072814812861,0.551017317791213,0.253742700004173,0.229105255267567,0.187932529571775,0.15803066038345,0.0962862926538832,0.0438879584592171,0.0470741250901612,0.0229014685256339,0.01621569149113,0.866386852865126,0.815839365031942,0.781080628528591,0.795272172984031,0.728827520962197,0.58883437200665,0.191946070163381,0.169639090703447,0.123319224935461,0.0532569170640132,0.0736382434027832,0.0509535742572,0.0102561740370232,0.768885965933849,0.865530749655019,0.779182311355316,0.599228576575642,0.423503202602782,0.12018353711479,0.118765324020958,0.0607992245626016
"cherry",0.0480296960313119,0.039311653984542,0.0539248675564891,0.123234333395196,0.0520750957482975,0.0404787056097004,0.0586246559878408,0.18315092868805,0.101685724059424,0.24499692659229,0.0394671764660758,0.0332727146674943,0.0341465998889773,0.0459133030292866,0.197835739287572,0.107388289895791,0.158160080277307,0.351533918051104,0.322100482663808,0.331846305738393,0.0365129898118949,0.082986922549281,0.063657044097072,0.0589745477450423,0.141245076201748,0.0981496359414768,0.043304444431141,0.0790386823158045,0.0880518137898097,0.0858868305697478,0.662161862114453,0.376421415970274,0.330107121783664,0.511085537371988,0.512341925137256,0.13544189420188,0.0978996927799578,0.27562029071278,0.250075412287024,0.152297801809599,0.132700093932179,0.114389133388198,0.0915688662667541,0.0993517570369101,0.112146167128906,0.326680287360084,0.230335242103105,0.255593960761436,0.639642010196082,0.831356403780997,0.260233488894867,0.209596673147385,0.187399772914531,0.267556300520251,0.227319082218447,0.148693546968025,0.0629451387870386,0.126183164436211,0.126004222346972,0.148017586996202,0.11474440974769,0.282772849208169,1,0.170808886002652,0.223092969342863,0.207759633962419,0.153371849825648,0.114264494360819,0.119366805442939,0.154917421918187,0.139620664357462
"comfort",0.59924675516799,0.452020882944083,0.542243243771355,0.317579250805196,0.635809628995268,0.605255489758005,0.730700413022635,0.371656202313985,0.461403697717278,0.309314574091311,0.736125517590612,0.69036543213148,0.780447156234506,0.997324950941512,0.487046477037665,0.795826952680595,0.832202090009282,0.40335211950101,0.58617356627186,0.244298539441705,0.505951961323546,0.705941303615893,0.687879713498282,0.857033725946656,0.0849717290175353,0.361398403409315,0.453283835627369,0.714434125139845,0.792688475326786,0.774249322532852,0.547108368233383,0.79451945999129,0.905440505649374,0.650619639412487,0.361504107834377,0.542870194954689,0.517753193773709,0.304287591110241,0.543924686440591,0.632682406711948,0.696244168581336,0.207108048771428,0.451075404588779,0.77187682676415,0.75262727189842,0.22550634336448,0.575198063987502,0.83044749390268,0.686068160422414,0.166540325871406,0.315874068784763,0.430126800023877,0.405398859185493,0.407541283826259,0.580392353367409,0.592959468901689,0.377655689344583,0.756309590751299,0.784663967266933,0.432553174446391,0.674352103216671,0.367327728416642,0.223100716919064,0.273062176122601,0.244731109616284,0.305928782214849,0.321874735687114,0.358575959049692,0.479981487096848,0.553209178416604,0.45040300266474
"corn",0.059214392245613,0.0561184230222965,0.0448068688076268,0.0392239127537542,0.0514686701507212,0.0544787084681928,0.0431869755374086,0.0539628771891865,0.0487797248771718,0.0501967955910263,0.0477834656712355,0.0370204091852803,0.0465548863804305,0.0620989267256186,0.0788712401473082,0.0719115653179009,0.0601960081917483,0.0437754488751504,0.0443742405691226,0.0420323957507224,0.0458383214389936,0.128720322735359,0.0567630154846071,0.0639591290215569,0.0704784632780096,0.0585601037657072,0.0428377220833791,0.130418790101168,0.19259755114963,0.169684217305462,0.0725876386320696,0.0719608673183991,0.0732878595335793,0.049051118967142,0.0376949655790192,0.199432818880705,0.130202161394031,0.488864162854231,0.47869943079642,0.294651078840806,0.290674828839077,0.19924377620504,0.301786690887801,0.439720543055424,0.43462419417994,0.199105896867456,0.173042652005204,0.107725276805831,0.0716578439435308,0.0525803565548862,0.505881054861827,0.429922776946443,0.338515812998843,0.417824936326928,0.424271855511188,0.412377260954702,0.453195181899204,0.727937408708051,0.716386186815379,0.284834154161309,0.368278884869962,0.176651377967293,0.052363610325213,0.42526215821733,0.411386948188645,0.403621509912157,0.463836193143255,0.620617379446871,0.905193880742565,0.927017096581731,0.476733804174764
"driving",0.428364896245007,0.426997563658603,0.334258822049407,0.138551251147214,0.521225081898564,0.445728434721218,0.318616775345891,0.251201725944474,0.227163562243522,0.204257504602381,0.513249568256425,0.441050086428799,0.528514640815777,0.492428663641962,0.238177883548729,0.226309447110551,0.262244050787723,0.191080053491443,0.228022092094773,0.197409043303761,0.285639241585985,0.360720224495141,0.386719631284975,0.417930889658332,0.58002818492924,0.576758766396792,0.654232497384372,0.504657998558122,0.514628115458387,0.583079630498597,0.239777387203049,0.318892183783758,0.275250426005268,0.332515807959172,0.331036708982488,0.380979607741829,0.375736186668048,0.659469248804069,0.569660931691833,0.392960531310427,0.388707462153909,0.390500909323958,0.365731705894114,0.394451301150462,0.537943462600226,0.343498466658903,0.32098801483366,0.264829447742024,0.430246818052144,0.481884756892933,0.746459864475954,0.588043365349798,0.580517050117723,0.594114434879999,0.459697373483194,0.391224117110088,0.340269302598946,0.464810326453505,0.510301972636499,0.415813160148372,0.318217481072582,0.440705521527266,0.596001093888625,0.573536075356067,0.562717709565444,0.509457363203484,0.461779863021823,0.450695924962434,0.695497497621851,0.672603842988887,0.541994136112227
"eating",0.272004583790506,0.230852086200314,0.221579024663923,0.195211358348059,0.303134813902796,0.220289985890241,0.247611034444861,0.292157174865852,0.21301550543008,0.196911714354299,0.301125024038797,0.228091431906433,0.248454880222771,0.370399535434867,0.270003938399462,0.263604239912137,0.297203292555409,0.236980655929355,0.258542171006487,0.260496688784304,0.246941237846242,0.288093307485262,0.353604404399227,0.304920427494268,0.0560072763502714,0.0279612997541673,0.181036327924499,0.249962498582732,0.351379076655921,0.37216401513263,0.385904708756052,0.345334002407486,0.427179066605481,0.371181670568564,0.329971725297178,0.332986844679779,0.332916342627492,0.670070406628392,0.578095452624735,0.486059391930655,0.404616648526099,0.39324102852512,0.354627813498785,0.413475773657691,0.42074650220448,0.461977694613504,0.485394532045013,0.523258627828566,0.533732108957708,0.421942336106024,0.676485761656383,0.505669869732772,0.427543818464906,0.571196932881958,0.522101710191689,0.472193036083445,0.42334447270982,0.560916441626981,0.56108635670735,0.57420896790637,0.585344145295242,0.619173895754666,0.521849280959542,0.44786666561618,0.536019392130632,0.482221130508393,0.489312491484295,0.501949776841422,0.673023301030393,0.70477459453355,0.66211077183795
"efficiency",0.68164168035632,0.558614281841163,0.552666744345746,0.557214569721375,0.692578588451484,0.568525408922175,0.546458656902276,0.308081257434,0.477839377024285,0.468712216655158,0.752286244432569,0.481038557049568,0.588965456676675,0.65292049220427,0.351065822951383,0.453701167041619,0.519348153233051,0.286567468336446,0.523981860768916,0.506380507890686,0.680444930593012,0.536705671171854,0.749063694311029,0.662462742838863,0.163198351729285,0.228695866911657,0.373854556302454,0.56902203484211,0.833271156073452,0.770459333529388,0.194565267710951,0.381318150973886,0.547237884020506,0.461560928792641,0.417645937460116,0.756573963279816,0.649096871261163,0.510341700063124,0.526894709295111,0.597094981078147,0.576142899663682,0.173848482457726,0.278266126420939,0.386947575880758,0.613266797386576,0.160726291093714,0.324918312844105,0.553978468021018,0.409068104918824,0.435504670426779,0.671943809023621,0.765024941905645,0.733960817640036,0.566556939832267,0.671611183149541,0.638273176041425,0.348879418311075,0.540601270620941,0.611550291023431,0.308507524197664,0.560270170550229,0.510077792782827,0.505971000131884,0.785706162260967,0.755036363971462,0.830288103460132,0.61592221947825,0.694027101945206,0.571285320641673,0.593481610813959,0.673586550552897
