,PCC,,SRC,,TV,,ED,
Concept,CLIP,LLM2CLIP,CLIP,LLM2CLIP,CLIP,LLM2CLIP,CLIP,LLM2CLIP
apple,0.545,0.659,0.603,0.704,6.546,6.399,7.98,4.637
banana,0.749,0.59,0.596,0.45,6.887,5.527,10.666,7.777
carrot,0.582,0.646,0.56,0.477,6.778,6.109,9.06,7.596
celery,0.847,0.601,0.643,0.565,8.162,7.38,11.901,10.426
cherry,0.54,0.618,0.716,0.706,5.674,3.727,7.154,3.512
comfort,-0.084,-0.108,-0.003,-0.11,9.643,14.057,4.433,1.533
corn,0.625,0.665,0.629,0.579,6.646,5.776,7.895,4.731
driving,-0.233,-0.131,-0.179,-0.118,6,7.906,1.021,1.117
eating,0.293,0.417,0.229,0.38,5.178,8.283,1.346,2.917
efficiency,0.14,0.31,0.358,0.412,9.511,13.788,3.515,1.835
eggplant,0.815,0.652,0.752,0.599,6.241,5.515,6.466,4.32
grape,0.826,0.528,0.824,0.609,6.924,6.574,6.69,4.535
leisure,0.208,0.229,0.16,0.042,8.862,11.289,2.323,0.104
mushroom,-0.071,-0.03,0.089,0.097,5.876,4.781,5.625,3.03
peach,0.547,0.712,0.538,0.583,6.706,5.051,8.379,4.655
reliability,-0.26,-0.184,-0.314,-0.129,8.559,13.805,2.038,4.496
safety,-0.362,-0.337,-0.399,-0.343,9.803,11.785,3.347,1.259
sleeping,-0.189,-0.2,-0.107,-0.172,8.191,10.427,5.349,0.723
speed,0.469,0.27,0.509,0.339,9.741,11.517,6.438,3.882
working,-0.534,-0.588,-0.395,-0.565,5.716,9.496,1.186,3.596
